anomaly_type,affected_records_pct,data_source,pipeline_stage,historical_frequency,time_sensitivity,data_domain,severity_score_raw,severity_score,label
schema_mismatch,16.58,data_warehouse,loading,rare,medium,operations,0.4526,0.4279,auto_resolve
schema_mismatch,23.49,crm,ingestion,first_occurrence,medium,product,0.4468,0.5365,escalate
schema_mismatch,5.83,iot_stream,transformation,occasional,medium,product,0.4207,0.4824,escalate
outlier,21.33,erp,validation,occasional,low,finance,0.3403,0.4552,auto_resolve
null_values,6.73,crm,ingestion,rare,medium,operations,0.321,0.5384,escalate
duplicates,22.13,iot_stream,transformation,chronic,low,finance,0.3136,0.575,escalate
duplicates,24.81,crm,serving,rare,low,marketing,0.3519,0.4251,auto_resolve
duplicates,3.54,manual_entry,ingestion,rare,low,product,0.2742,0.2282,auto_resolve
outlier,18.68,crm,serving,frequent,medium,product,0.4176,0.4238,auto_resolve
duplicates,32.96,api_feed,ingestion,chronic,low,product,0.278,0.4353,auto_resolve
outlier,1.23,api_feed,ingestion,occasional,high,operations,0.3939,0.3046,auto_resolve
referential_integrity,28.55,iot_stream,ingestion,first_occurrence,high,finance,0.6222,0.767,critical
duplicates,30.0,iot_stream,serving,occasional,low,finance,0.4118,0.3948,auto_resolve
referential_integrity,54.83,manual_entry,validation,rare,medium,marketing,0.5905,0.6132,critical
schema_mismatch,26.83,erp,loading,occasional,low,marketing,0.3997,0.3189,auto_resolve
referential_integrity,7.78,crm,transformation,frequent,low,operations,0.3459,0.2135,auto_resolve
duplicates,24.04,api_feed,loading,occasional,critical,hr,0.5377,0.5098,escalate
duplicates,25.84,api_feed,validation,occasional,medium,finance,0.3881,0.5184,escalate
duplicates,38.74,crm,validation,frequent,low,finance,0.3211,0.2509,auto_resolve
null_values,45.42,data_warehouse,loading,rare,high,finance,0.5609,0.7222,critical
duplicates,23.89,erp,loading,rare,critical,product,0.5289,0.4716,escalate
referential_integrity,15.72,crm,validation,frequent,medium,marketing,0.4021,0.2952,auto_resolve
schema_mismatch,24.09,data_warehouse,ingestion,first_occurrence,high,finance,0.5397,0.565,escalate
null_values,15.45,api_feed,loading,rare,high,operations,0.4825,0.5504,escalate
duplicates,25.67,manual_entry,ingestion,first_occurrence,high,marketing,0.4761,0.4949,escalate
null_values,5.75,crm,serving,occasional,medium,marketing,0.365,0.3801,auto_resolve
null_values,34.32,api_feed,transformation,occasional,high,product,0.4869,0.6472,critical
referential_integrity,30.03,api_feed,ingestion,occasional,medium,marketing,0.4559,0.4654,auto_resolve
duplicates,24.33,erp,transformation,occasional,low,finance,0.32,0.2729,auto_resolve
duplicates,8.03,manual_entry,validation,occasional,low,marketing,0.2757,0.1624,auto_resolve
schema_mismatch,6.78,erp,transformation,rare,medium,finance,0.4547,0.582,escalate
null_values,42.58,erp,loading,frequent,low,compliance,0.4088,0.3662,auto_resolve
null_values,53.8,crm,validation,chronic,low,hr,0.3634,0.3306,auto_resolve
outlier,27.89,erp,ingestion,occasional,medium,operations,0.3902,0.4954,escalate
schema_mismatch,57.61,erp,transformation,occasional,critical,operations,0.6809,0.8863,critical
data_corruption,38.13,manual_entry,loading,frequent,low,marketing,0.525,0.5502,escalate
schema_mismatch,10.15,api_feed,loading,rare,low,operations,0.4019,0.3882,auto_resolve
duplicates,24.81,crm,transformation,occasional,high,marketing,0.4102,0.4097,auto_resolve
outlier,16.96,api_feed,serving,chronic,medium,product,0.4238,0.3782,auto_resolve
referential_integrity,29.53,erp,ingestion,rare,high,hr,0.5587,0.5231,escalate
outlier,21.88,api_feed,validation,rare,medium,marketing,0.4078,0.3727,auto_resolve
data_corruption,29.84,iot_stream,loading,occasional,medium,product,0.5666,0.6576,critical
outlier,33.65,manual_entry,transformation,occasional,low,finance,0.4398,0.431,auto_resolve
referential_integrity,12.41,manual_entry,ingestion,occasional,medium,marketing,0.441,0.5769,escalate
null_values,20.14,erp,validation,rare,medium,finance,0.4064,0.3948,auto_resolve
outlier,24.83,crm,transformation,frequent,low,marketing,0.3149,0.2782,auto_resolve
duplicates,33.45,manual_entry,ingestion,rare,low,marketing,0.3483,0.4761,escalate
schema_mismatch,44.75,api_feed,ingestion,chronic,medium,compliance,0.5037,0.5059,escalate
schema_mismatch,8.19,api_feed,loading,rare,medium,marketing,0.4457,0.4331,auto_resolve
data_corruption,10.7,data_warehouse,ingestion,first_occurrence,medium,marketing,0.4577,0.461,auto_resolve
data_corruption,9.55,erp,transformation,occasional,high,finance,0.5787,0.7254,critical
null_values,41.26,iot_stream,serving,rare,high,finance,0.6301,0.6607,critical
outlier,28.88,api_feed,loading,occasional,low,marketing,0.3733,0.4983,escalate
outlier,10.2,erp,transformation,rare,critical,finance,0.5574,0.5339,escalate
duplicates,22.0,crm,transformation,occasional,high,marketing,0.4028,0.5117,escalate
null_values,2.67,api_feed,ingestion,rare,low,finance,0.2803,0.3041,auto_resolve
null_values,4.44,erp,transformation,occasional,medium,finance,0.3551,0.4433,auto_resolve
outlier,5.46,manual_entry,ingestion,rare,medium,hr,0.4017,0.4984,escalate
duplicates,38.16,manual_entry,ingestion,occasional,critical,compliance,0.5905,0.4963,escalate
data_corruption,35.32,api_feed,ingestion,rare,medium,finance,0.5838,0.591,escalate
duplicates,11.47,api_feed,validation,frequent,medium,hr,0.3233,0.419,auto_resolve
data_corruption,13.35,api_feed,ingestion,frequent,critical,hr,0.603,0.7146,critical
duplicates,7.37,api_feed,ingestion,rare,medium,operations,0.3228,0.4481,auto_resolve
outlier,6.22,iot_stream,loading,first_occurrence,low,hr,0.387,0.3975,auto_resolve
null_values,10.66,crm,ingestion,first_occurrence,medium,operations,0.3538,0.5078,escalate
schema_mismatch,25.0,data_warehouse,validation,rare,high,compliance,0.5458,0.48,escalate
outlier,21.87,crm,transformation,occasional,medium,finance,0.4172,0.2677,auto_resolve
referential_integrity,1.83,erp,validation,occasional,medium,operations,0.401,0.3733,auto_resolve
outlier,9.14,manual_entry,ingestion,chronic,medium,hr,0.3672,0.4868,escalate
null_values,24.34,crm,ingestion,frequent,medium,compliance,0.3609,0.2523,auto_resolve
duplicates,24.87,erp,loading,first_occurrence,critical,operations,0.5634,0.4164,auto_resolve
null_values,11.01,crm,transformation,rare,medium,compliance,0.3924,0.2203,auto_resolve
null_values,29.18,manual_entry,ingestion,first_occurrence,medium,hr,0.4681,0.5417,escalate
schema_mismatch,13.16,api_feed,transformation,rare,high,hr,0.5352,0.3905,auto_resolve
outlier,33.0,crm,transformation,occasional,low,product,0.3537,0.4086,auto_resolve
outlier,27.77,api_feed,ingestion,first_occurrence,low,hr,0.3858,0.3529,auto_resolve
referential_integrity,15.14,erp,transformation,first_occurrence,critical,operations,0.6301,0.5531,escalate
outlier,62.2,data_warehouse,transformation,rare,high,product,0.5729,0.4731,escalate
outlier,17.74,crm,validation,frequent,medium,finance,0.3762,0.3969,auto_resolve
null_values,39.06,api_feed,loading,first_occurrence,low,compliance,0.4692,0.3938,auto_resolve
null_values,36.71,api_feed,transformation,chronic,low,product,0.3421,0.3416,auto_resolve
schema_mismatch,6.59,api_feed,loading,occasional,low,hr,0.3769,0.417,auto_resolve
referential_integrity,12.11,data_warehouse,transformation,occasional,medium,finance,0.4469,0.5082,escalate
null_values,44.51,erp,transformation,occasional,medium,marketing,0.4307,0.5241,escalate
duplicates,13.9,manual_entry,validation,occasional,low,marketing,0.2912,0.3077,auto_resolve
schema_mismatch,26.62,api_feed,validation,occasional,medium,marketing,0.4415,0.3365,auto_resolve
null_values,10.26,manual_entry,ingestion,occasional,critical,hr,0.5047,0.5513,escalate
duplicates,29.22,erp,serving,occasional,critical,product,0.5541,0.6197,critical
referential_integrity,10.73,erp,serving,occasional,high,hr,0.5676,0.5495,escalate
schema_mismatch,34.82,crm,ingestion,first_occurrence,medium,marketing,0.4686,0.4398,auto_resolve
null_values,27.59,crm,validation,frequent,medium,compliance,0.3882,0.6357,critical
referential_integrity,30.06,data_warehouse,loading,occasional,medium,product,0.4808,0.3515,auto_resolve
duplicates,43.42,manual_entry,serving,frequent,low,hr,0.4464,0.4957,escalate
referential_integrity,26.23,erp,validation,chronic,high,marketing,0.4935,0.5981,escalate
null_values,15.94,api_feed,ingestion,occasional,medium,hr,0.3526,0.3185,auto_resolve
schema_mismatch,6.61,manual_entry,validation,frequent,medium,operations,0.4252,0.4083,auto_resolve
duplicates,35.04,erp,ingestion,occasional,low,finance,0.3162,0.2761,auto_resolve
null_values,42.82,api_feed,validation,occasional,low,hr,0.3775,0.3775,auto_resolve
referential_integrity,53.78,manual_entry,validation,occasional,high,hr,0.6658,0.7557,critical
null_values,33.75,erp,validation,rare,low,marketing,0.3438,0.324,auto_resolve
null_values,7.81,api_feed,ingestion,rare,low,compliance,0.3003,0.6114,critical
duplicates,50.59,erp,transformation,occasional,medium,product,0.4336,0.3883,auto_resolve
outlier,13.33,crm,validation,first_occurrence,high,operations,0.4657,0.6034,escalate
outlier,15.06,manual_entry,transformation,rare,low,finance,0.4091,0.4635,auto_resolve
data_corruption,28.93,manual_entry,ingestion,frequent,low,finance,0.4957,0.5065,escalate
null_values,13.88,data_warehouse,ingestion,occasional,high,hr,0.3805,0.5275,escalate
duplicates,30.79,crm,loading,first_occurrence,critical,product,0.5583,0.3983,auto_resolve
null_values,15.48,manual_entry,transformation,first_occurrence,medium,operations,0.4551,0.4976,escalate
schema_mismatch,42.52,data_warehouse,validation,chronic,high,finance,0.5409,0.4693,escalate
data_corruption,33.27,api_feed,transformation,chronic,medium,finance,0.5663,0.5227,escalate
outlier,8.73,data_warehouse,loading,occasional,high,marketing,0.4153,0.367,auto_resolve
schema_mismatch,35.55,data_warehouse,transformation,rare,medium,hr,0.4971,0.4008,auto_resolve
duplicates,18.91,iot_stream,ingestion,occasional,high,operations,0.4095,0.2442,auto_resolve
referential_integrity,57.08,data_warehouse,ingestion,occasional,high,finance,0.6121,0.651,critical
duplicates,16.88,api_feed,ingestion,frequent,low,operations,0.2499,0.2433,auto_resolve
null_values,29.52,api_feed,loading,occasional,low,product,0.3605,0.3304,auto_resolve
duplicates,21.62,data_warehouse,validation,frequent,high,operations,0.3785,0.4544,auto_resolve
null_values,8.09,iot_stream,loading,occasional,low,finance,0.3367,0.3819,auto_resolve
null_values,20.06,crm,validation,frequent,medium,operations,0.3412,0.3145,auto_resolve
null_values,29.56,erp,loading,occasional,medium,compliance,0.453,0.7581,critical
duplicates,17.51,erp,serving,occasional,low,finance,0.3524,0.4542,auto_resolve
schema_mismatch,11.18,iot_stream,validation,occasional,medium,finance,0.45,0.6945,critical
duplicates,31.21,erp,ingestion,occasional,medium,operations,0.3553,0.3138,auto_resolve
duplicates,12.31,erp,ingestion,frequent,high,marketing,0.3453,0.3703,auto_resolve
data_corruption,30.41,api_feed,validation,occasional,low,product,0.4601,0.3363,auto_resolve
outlier,28.44,crm,loading,chronic,low,hr,0.3484,0.3154,auto_resolve
duplicates,22.08,data_warehouse,validation,occasional,low,finance,0.2728,0.2144,auto_resolve
null_values,37.98,api_feed,transformation,occasional,low,product,0.3671,0.6667,critical
referential_integrity,51.82,crm,validation,rare,medium,hr,0.5595,0.4902,escalate
null_values,28.01,erp,transformation,first_occurrence,medium,operations,0.4455,0.4221,auto_resolve
duplicates,13.21,manual_entry,ingestion,frequent,low,marketing,0.2629,0.1175,auto_resolve
referential_integrity,40.67,api_feed,loading,first_occurrence,critical,hr,0.7411,0.7944,critical
duplicates,34.38,api_feed,validation,occasional,low,product,0.3196,0.2296,auto_resolve
outlier,30.0,erp,ingestion,rare,medium,finance,0.4408,0.5327,escalate
schema_mismatch,3.69,data_warehouse,transformation,frequent,high,marketing,0.4179,0.239,auto_resolve
schema_mismatch,34.9,manual_entry,validation,chronic,medium,compliance,0.5278,0.5156,escalate
null_values,19.15,manual_entry,transformation,frequent,medium,marketing,0.3952,0.2107,auto_resolve
null_values,1.59,api_feed,ingestion,occasional,critical,finance,0.4628,0.4138,auto_resolve
duplicates,0.52,data_warehouse,validation,occasional,medium,finance,0.2799,0.2512,auto_resolve
null_values,12.82,manual_entry,validation,rare,low,hr,0.3495,0.2896,auto_resolve
referential_integrity,1.6,api_feed,ingestion,chronic,low,hr,0.3125,0.2625,auto_resolve
null_values,24.58,data_warehouse,transformation,rare,critical,finance,0.5527,0.6498,critical
schema_mismatch,2.94,iot_stream,validation,chronic,low,marketing,0.3046,0.522,escalate
outlier,17.89,manual_entry,transformation,frequent,high,operations,0.4947,0.5286,escalate
outlier,12.94,manual_entry,transformation,frequent,low,hr,0.3554,0.2694,auto_resolve
duplicates,11.39,api_feed,transformation,frequent,low,finance,0.2824,0.2888,auto_resolve
duplicates,13.82,api_feed,transformation,occasional,high,operations,0.4175,0.3821,auto_resolve
data_corruption,13.87,crm,loading,rare,critical,operations,0.6541,0.7431,critical
schema_mismatch,39.81,api_feed,transformation,occasional,low,finance,0.4692,0.498,escalate
outlier,57.34,erp,serving,rare,low,marketing,0.4912,0.3334,auto_resolve
referential_integrity,44.13,erp,transformation,frequent,high,compliance,0.6317,0.7415,critical
outlier,6.16,data_warehouse,validation,occasional,medium,product,0.319,0.4157,auto_resolve
null_values,36.13,crm,transformation,frequent,medium,marketing,0.3872,0.5367,escalate
schema_mismatch,43.07,iot_stream,loading,frequent,low,product,0.4619,0.4102,auto_resolve
null_values,3.27,erp,loading,rare,critical,hr,0.5132,0.5433,escalate
schema_mismatch,12.12,crm,transformation,rare,low,compliance,0.3957,0.2772,auto_resolve
data_corruption,34.27,crm,transformation,occasional,low,compliance,0.5082,0.5031,escalate
duplicates,10.25,api_feed,serving,rare,medium,hr,0.4207,0.4604,auto_resolve
duplicates,43.52,api_feed,serving,frequent,low,operations,0.4057,0.3421,auto_resolve
null_values,29.54,erp,serving,frequent,medium,finance,0.4685,0.5027,escalate
data_corruption,30.51,manual_entry,ingestion,frequent,medium,operations,0.5404,0.5572,escalate
null_values,44.54,api_feed,ingestion,occasional,medium,marketing,0.4095,0.3645,auto_resolve
null_values,39.72,crm,transformation,frequent,medium,hr,0.4192,0.559,escalate
null_values,6.09,erp,validation,occasional,low,finance,0.2729,0.2494,auto_resolve
null_values,12.42,crm,ingestion,chronic,high,product,0.3521,0.3654,auto_resolve
duplicates,24.3,crm,transformation,frequent,medium,compliance,0.3726,0.2259,auto_resolve
duplicates,11.94,erp,validation,frequent,medium,marketing,0.2966,0.3486,auto_resolve
duplicates,29.75,manual_entry,ingestion,rare,low,hr,0.3577,0.31,auto_resolve
null_values,29.75,manual_entry,validation,frequent,medium,product,0.4151,0.5108,escalate
null_values,6.73,iot_stream,ingestion,occasional,high,operations,0.398,0.2669,auto_resolve
duplicates,27.02,manual_entry,loading,occasional,medium,compliance,0.4691,0.5122,escalate
null_values,8.96,api_feed,transformation,occasional,high,operations,0.4261,0.2079,auto_resolve
schema_mismatch,13.32,erp,validation,occasional,low,marketing,0.3321,0.3937,auto_resolve
null_values,25.57,crm,transformation,rare,critical,operations,0.5378,0.5203,escalate
duplicates,36.2,api_feed,ingestion,rare,low,operations,0.336,0.376,auto_resolve
duplicates,8.07,erp,transformation,frequent,low,marketing,0.2387,0.1787,auto_resolve
duplicates,38.61,erp,loading,frequent,medium,product,0.4066,0.3117,auto_resolve
null_values,28.84,data_warehouse,transformation,chronic,low,hr,0.2992,0.2557,auto_resolve
null_values,26.62,crm,ingestion,frequent,medium,marketing,0.3302,0.3494,auto_resolve
referential_integrity,16.55,crm,validation,occasional,low,operations,0.3645,0.4222,auto_resolve
null_values,26.25,data_warehouse,ingestion,frequent,high,marketing,0.3823,0.4126,auto_resolve
duplicates,9.57,erp,transformation,occasional,high,operations,0.3948,0.3011,auto_resolve
duplicates,16.08,erp,transformation,rare,medium,operations,0.3687,0.5525,escalate
duplicates,39.6,crm,transformation,chronic,medium,marketing,0.3646,0.3979,auto_resolve
duplicates,27.68,api_feed,ingestion,chronic,medium,product,0.3285,0.2663,auto_resolve
outlier,29.31,data_warehouse,ingestion,rare,high,compliance,0.4936,0.536,escalate
outlier,74.75,manual_entry,ingestion,frequent,medium,operations,0.5521,0.5777,escalate
null_values,14.86,api_feed,transformation,first_occurrence,medium,hr,0.428,0.4105,auto_resolve
duplicates,30.63,erp,validation,chronic,low,compliance,0.3028,0.2735,auto_resolve
null_values,5.57,erp,validation,occasional,low,finance,0.2714,0.3698,auto_resolve
duplicates,45.87,api_feed,ingestion,rare,medium,finance,0.452,0.6248,critical
schema_mismatch,20.64,erp,ingestion,frequent,medium,finance,0.4253,0.2217,auto_resolve
null_values,24.19,crm,validation,occasional,high,operations,0.4295,0.5526,escalate
duplicates,2.32,manual_entry,transformation,first_occurrence,critical,marketing,0.5096,0.5116,escalate
referential_integrity,16.54,iot_stream,loading,frequent,medium,operations,0.4855,0.5092,escalate
null_values,7.93,data_warehouse,ingestion,frequent,medium,operations,0.2803,0.4155,auto_resolve
duplicates,59.79,iot_stream,ingestion,occasional,high,finance,0.5504,0.2849,auto_resolve
outlier,18.66,api_feed,transformation,frequent,medium,marketing,0.3833,0.4648,auto_resolve
null_values,10.65,manual_entry,validation,first_occurrence,medium,finance,0.4485,0.5767,escalate
null_values,18.12,data_warehouse,transformation,occasional,medium,operations,0.3523,0.2835,auto_resolve
null_values,11.11,crm,ingestion,frequent,low,marketing,0.2255,0.0861,auto_resolve
referential_integrity,0.35,api_feed,ingestion,rare,low,finance,0.3664,0.5304,escalate
null_values,20.85,erp,validation,occasional,medium,finance,0.3853,0.2096,auto_resolve
null_values,7.24,data_warehouse,ingestion,chronic,medium,hr,0.2723,0.3141,auto_resolve
null_values,21.31,data_warehouse,validation,frequent,low,marketing,0.2579,0.3602,auto_resolve
null_values,45.7,iot_stream,ingestion,occasional,low,hr,0.38,0.4196,auto_resolve
schema_mismatch,33.4,erp,transformation,occasional,low,product,0.4088,0.4652,auto_resolve
null_values,42.06,data_warehouse,ingestion,frequent,high,operations,0.4402,0.4137,auto_resolve
schema_mismatch,26.55,crm,serving,frequent,high,finance,0.5874,0.6337,critical
schema_mismatch,19.66,crm,ingestion,first_occurrence,critical,hr,0.587,0.5162,escalate
outlier,4.64,api_feed,ingestion,occasional,high,finance,0.4253,0.3674,auto_resolve
null_values,30.15,manual_entry,loading,rare,low,product,0.4162,0.4198,auto_resolve
referential_integrity,46.5,iot_stream,ingestion,first_occurrence,low,product,0.4982,0.3442,auto_resolve
schema_mismatch,21.73,erp,ingestion,rare,medium,operations,0.4393,0.497,escalate
null_values,69.61,erp,ingestion,occasional,medium,marketing,0.4654,0.2173,auto_resolve
outlier,24.56,api_feed,validation,frequent,high,hr,0.472,0.5082,escalate
referential_integrity,41.54,crm,transformation,chronic,low,operations,0.4277,0.4734,escalate
null_values,14.79,iot_stream,loading,occasional,critical,finance,0.5649,0.4854,escalate
referential_integrity,13.95,erp,validation,occasional,medium,product,0.4265,0.3031,auto_resolve
duplicates,12.1,crm,transformation,rare,medium,marketing,0.3342,0.2933,auto_resolve
schema_mismatch,12.11,api_feed,ingestion,rare,high,product,0.4809,0.5449,escalate
data_corruption,43.67,manual_entry,loading,rare,medium,product,0.6471,0.6817,critical
duplicates,4.95,iot_stream,loading,chronic,high,marketing,0.3841,0.273,auto_resolve
outlier,10.53,erp,loading,rare,high,marketing,0.4625,0.4731,escalate
duplicates,61.94,crm,ingestion,frequent,high,marketing,0.4662,0.4924,escalate
outlier,37.16,data_warehouse,validation,occasional,high,product,0.4675,0.4895,escalate
schema_mismatch,18.53,api_feed,validation,occasional,medium,finance,0.4597,0.3611,auto_resolve
null_values,26.29,erp,serving,frequent,medium,marketing,0.4195,0.435,auto_resolve
duplicates,19.6,crm,ingestion,chronic,high,hr,0.3629,0.4547,auto_resolve
duplicates,39.5,data_warehouse,loading,rare,medium,finance,0.451,0.5046,escalate
null_values,10.96,manual_entry,validation,chronic,medium,finance,0.3798,0.4209,auto_resolve
null_values,10.07,erp,loading,rare,medium,product,0.3836,0.5479,escalate
duplicates,15.22,crm,validation,frequent,low,operations,0.2399,0.2566,auto_resolve
null_values,41.93,crm,loading,first_occurrence,medium,operations,0.4893,0.4051,auto_resolve
null_values,6.43,erp,transformation,occasional,critical,marketing,0.4569,0.3731,auto_resolve
outlier,38.14,crm,ingestion,frequent,low,operations,0.3304,0.348,auto_resolve
outlier,21.74,erp,transformation,frequent,low,operations,0.3293,0.1855,auto_resolve
outlier,12.93,crm,loading,frequent,low,operations,0.3106,0.2795,auto_resolve
duplicates,44.1,erp,ingestion,rare,medium,compliance,0.4428,0.4892,escalate
referential_integrity,9.93,api_feed,validation,frequent,low,finance,0.3768,0.4939,escalate
schema_mismatch,40.67,api_feed,serving,occasional,medium,operations,0.5628,0.4084,auto_resolve
null_values,31.93,iot_stream,loading,rare,low,product,0.3994,0.4093,auto_resolve
null_values,19.07,erp,validation,first_occurrence,low,marketing,0.3261,0.3193,auto_resolve
schema_mismatch,69.12,iot_stream,loading,rare,low,compliance,0.6169,0.6207,critical
null_values,6.48,data_warehouse,ingestion,rare,low,operations,0.2433,0.2575,auto_resolve
duplicates,12.06,data_warehouse,transformation,frequent,high,finance,0.3888,0.3856,auto_resolve
data_corruption,31.18,crm,transformation,rare,critical,finance,0.7226,0.8618,critical
null_values,44.81,erp,loading,occasional,high,marketing,0.5109,0.6353,critical
null_values,56.56,api_feed,ingestion,rare,high,compliance,0.5858,0.8001,critical
data_corruption,42.93,crm,ingestion,frequent,low,compliance,0.4865,0.4855,escalate
schema_mismatch,33.7,crm,validation,rare,high,operations,0.5437,0.5026,escalate
null_values,49.2,crm,transformation,occasional,medium,finance,0.4733,0.3765,auto_resolve
referential_integrity,3.91,api_feed,loading,occasional,high,operations,0.5168,0.4648,auto_resolve
referential_integrity,9.88,iot_stream,transformation,chronic,medium,operations,0.4397,0.5111,escalate
duplicates,5.76,erp,loading,chronic,medium,marketing,0.3015,0.3883,auto_resolve
schema_mismatch,22.7,data_warehouse,transformation,occasional,low,finance,0.3848,0.4524,auto_resolve
null_values,32.24,manual_entry,loading,chronic,low,marketing,0.3716,0.3052,auto_resolve
null_values,7.89,crm,validation,occasional,medium,marketing,0.3071,0.2412,auto_resolve
schema_mismatch,32.09,api_feed,ingestion,chronic,medium,hr,0.4427,0.6383,critical
null_values,21.98,crm,transformation,first_occurrence,critical,marketing,0.5299,0.4467,auto_resolve
schema_mismatch,20.13,data_warehouse,loading,first_occurrence,low,finance,0.4412,0.5828,escalate
outlier,25.15,manual_entry,ingestion,first_occurrence,medium,finance,0.4963,0.5368,escalate
null_values,20.91,manual_entry,validation,frequent,medium,hr,0.4057,0.3325,auto_resolve
schema_mismatch,18.93,manual_entry,ingestion,rare,low,hr,0.417,0.2986,auto_resolve
null_values,4.62,erp,loading,rare,medium,finance,0.3962,0.3273,auto_resolve
referential_integrity,7.47,data_warehouse,ingestion,occasional,medium,product,0.3712,0.4129,auto_resolve
null_values,4.55,data_warehouse,validation,chronic,medium,hr,0.2815,0.1906,auto_resolve
schema_mismatch,11.12,manual_entry,validation,occasional,low,finance,0.4034,0.5589,escalate
schema_mismatch,35.48,api_feed,ingestion,frequent,low,marketing,0.3749,0.3541,auto_resolve
duplicates,8.49,crm,transformation,rare,low,compliance,0.2905,0.3606,auto_resolve
schema_mismatch,15.13,crm,loading,chronic,high,operations,0.4816,0.5436,escalate
outlier,27.36,crm,validation,first_occurrence,high,marketing,0.4859,0.6481,critical
schema_mismatch,21.45,api_feed,serving,rare,low,operations,0.466,0.4222,auto_resolve
outlier,13.85,manual_entry,loading,occasional,medium,marketing,0.4289,0.4395,auto_resolve
data_corruption,30.0,data_warehouse,validation,rare,critical,product,0.6426,0.5025,escalate
duplicates,27.15,crm,validation,frequent,low,product,0.2677,0.278,auto_resolve
duplicates,38.86,erp,serving,frequent,low,product,0.3749,0.4889,escalate
null_values,12.05,crm,transformation,rare,low,hr,0.3081,0.3301,auto_resolve
outlier,11.4,data_warehouse,transformation,first_occurrence,low,hr,0.3399,0.5712,escalate
duplicates,22.37,manual_entry,loading,first_occurrence,high,marketing,0.5151,0.5671,escalate
duplicates,11.49,api_feed,serving,first_occurrence,high,product,0.4954,0.4414,auto_resolve
null_values,1.37,api_feed,transformation,chronic,medium,finance,0.3346,0.3801,auto_resolve
referential_integrity,28.11,api_feed,ingestion,occasional,medium,marketing,0.4508,0.3045,auto_resolve
duplicates,48.61,erp,validation,rare,high,compliance,0.5446,0.4647,auto_resolve
schema_mismatch,15.78,crm,validation,first_occurrence,low,compliance,0.4124,0.2907,auto_resolve
null_values,19.47,erp,transformation,frequent,low,operations,0.301,0.3027,auto_resolve
data_corruption,12.59,erp,validation,frequent,low,operations,0.3976,0.3916,auto_resolve
null_values,45.85,api_feed,transformation,chronic,high,finance,0.5332,0.6537,critical
null_values,2.57,erp,transformation,rare,high,hr,0.4272,0.4173,auto_resolve
referential_integrity,42.83,manual_entry,validation,occasional,medium,finance,0.5882,0.488,escalate
referential_integrity,40.99,api_feed,transformation,rare,high,marketing,0.6015,0.7575,critical
null_values,20.46,api_feed,loading,frequent,low,operations,0.3313,0.0368,auto_resolve
duplicates,13.21,data_warehouse,ingestion,occasional,medium,product,0.2787,0.2825,auto_resolve
outlier,36.31,erp,loading,frequent,high,compliance,0.5555,0.5773,escalate
referential_integrity,34.66,api_feed,transformation,first_occurrence,critical,compliance,0.7453,0.7443,critical
duplicates,23.33,crm,serving,frequent,medium,product,0.387,0.437,auto_resolve
duplicates,4.05,manual_entry,loading,rare,low,marketing,0.3181,0.3292,auto_resolve
outlier,51.65,api_feed,ingestion,frequent,critical,finance,0.6196,0.6696,critical
outlier,17.4,erp,serving,rare,medium,operations,0.4659,0.4056,auto_resolve
outlier,27.01,crm,transformation,frequent,medium,marketing,0.3843,0.2384,auto_resolve
schema_mismatch,2.75,manual_entry,transformation,rare,low,hr,0.4053,0.4007,auto_resolve
null_values,3.08,manual_entry,serving,frequent,low,marketing,0.3368,0.2341,auto_resolve
referential_integrity,4.4,manual_entry,serving,frequent,medium,product,0.4979,0.425,auto_resolve
referential_integrity,27.33,api_feed,validation,occasional,medium,marketing,0.4646,0.5808,escalate
outlier,42.47,api_feed,serving,rare,low,marketing,0.4623,0.6181,critical
null_values,3.17,api_feed,transformation,occasional,low,product,0.2732,0.3874,auto_resolve
null_values,21.25,erp,ingestion,rare,medium,operations,0.3719,0.4677,auto_resolve
outlier,46.38,api_feed,ingestion,occasional,medium,marketing,0.4356,0.4416,auto_resolve
null_values,1.81,api_feed,transformation,first_occurrence,medium,hr,0.3915,0.493,escalate
data_corruption,50.23,iot_stream,validation,first_occurrence,low,operations,0.5781,0.6137,critical
duplicates,13.61,api_feed,transformation,rare,high,finance,0.4629,0.6576,critical
outlier,50.95,api_feed,validation,rare,critical,operations,0.6351,0.5433,escalate
referential_integrity,15.01,data_warehouse,ingestion,rare,medium,compliance,0.4514,0.5186,escalate
duplicates,27.03,iot_stream,transformation,frequent,medium,marketing,0.3737,0.2473,auto_resolve
duplicates,19.86,erp,validation,first_occurrence,high,operations,0.4506,0.5184,escalate
schema_mismatch,11.65,data_warehouse,ingestion,chronic,low,marketing,0.2694,0.0975,auto_resolve
schema_mismatch,10.08,crm,validation,frequent,critical,operations,0.5117,0.3904,auto_resolve
duplicates,15.58,iot_stream,loading,occasional,medium,compliance,0.4118,0.2835,auto_resolve
schema_mismatch,25.16,crm,validation,frequent,medium,marketing,0.4059,0.4311,auto_resolve
referential_integrity,43.76,api_feed,loading,occasional,medium,product,0.5502,0.5856,escalate
duplicates,16.64,data_warehouse,serving,occasional,low,product,0.3041,0.5492,escalate
null_values,51.63,crm,ingestion,occasional,high,marketing,0.4707,0.4616,auto_resolve
duplicates,42.53,iot_stream,validation,frequent,high,product,0.4712,0.5485,escalate
duplicates,23.73,api_feed,ingestion,rare,low,compliance,0.3237,0.3398,auto_resolve
